"Últ Atualização","Região Covid","Município","Cód","Hospital","Leitos","Pacientes","Taxa Ocupação","Confirmados","Suspeitos"
"04/05/2020 09:57","Lajeado - R29 R30","Boqueirao Do Leao","2252058","Hosp Dr Anuar Elias Aesse Boqueirao Do Leao","0","0","-","0","0"
"04/05/2020 09:57","Cachoeira Do Sul - R27","Sobradinho","2234408","Hospital Dr Homero Menezes","0","0","-","0","0"
"04/05/2020 09:56","Erechim - R16","Aratiba","2249502","Acha Aratiba","0","0","-","0","0"
"04/05/2020 09:55","Passo Fundo - R17 R18 R19","Marau","9131981","Hospital Sao Lucas","0","0","-","0","0"
"04/05/2020 09:52","Cachoeira Do Sul - R27","Sobradinho","6560830","Fundacao Dr Homero Lima Menezes","0","0","-","0","0"
"04/05/2020 09:49","Uruguaiana - R03","Quarai","2248247","Fundacao Hospitalar De Caridade De Quarai","0","0","-","0","0"
"04/05/2020 09:48","Taquara - R06","Riozinho","2227703","Hospital Nossa Senhora Do Rosario De Riozinho","0","0","-","0","0"
"04/05/2020 09:46","Passo Fundo - R17 R18 R19","Passo Fundo","2246929","Hospital De Clinicas De Passo Fundo","31","25","80.6%","5","1"
"04/05/2020 09:45","Pelotas - R21","Pelotas","2252341","Hospital Miguel Piltcher","6","3","50%","0","0"
"04/05/2020 09:44","Ijui - R13","Chiapetta","2261103","Hospital De Chiapetta","0","0","-","0","0"
"04/05/2020 09:40","Santo Angelo - R11","Santo Angelo","7151888","Hospital Regional Unimed Missoes","7","6","85.7%","1","1"
"04/05/2020 09:37","Ijui - R13","Augusto Pestana","2261081","Hospital Sao Francisco","0","0","-","0","0"
"04/05/2020 09:35","Erechim - R16","Getulio Vargas","2249510","Hospital Sao Roque De Getulio Vargas","0","0","-","0","0"
"04/05/2020 09:31","Santo Angelo - R11","Caibate","2259850","Hospital Roque Gonzales Caibate","0","0","-","0","0"
"04/05/2020 09:30","Porto Alegre - R09 R10","Porto Alegre","5026253","Hospital Porto Alegre","17","1","5.9%","0","1"
"04/05/2020 09:28","Bage - R22","Bage","2261995","Hospital Universitario Urcamp","0","0","-","0","0"
"04/05/2020 09:27","Santa Rosa - R14","Tucunduva","5050170","Hospital Dr Osvaldo Teixeira","0","0","-","0","0"
"04/05/2020 09:19","Uruguaiana - R03","Sant'ana Do Livramento","3913392","Centro Hospitalar Santanense Ltda","0","0","-","0","0"
"04/05/2020 09:16","Porto Alegre - R09 R10","Guaiba","6131913","Hospital Unimed","0","0","-","0","0"
"04/05/2020 09:14","Canoas - R08","Canoas","2232014","Hospital Nossa Senhora Das Gracas","28","26","92.9%","0","0"
"04/05/2020 09:11","Uruguaiana - R03","Sao Gabriel","2248204","Santa Casa De Sao Gabriel","12","8","66.7%","0","0"
"04/05/2020 09:07","Caxias Do Sul - R23 R24 R25 R26","Gramado","2241153","Hospital Arcanjo Sao Miguel","10","8","80%","0","0"
"04/05/2020 09:06","Lajeado - R29 R30","Mucum","2707942","Hospital Beneficente Nossa Senhora Aparecida","0","0","-","0","0"
"04/05/2020 09:02","Passo Fundo - R17 R18 R19","Serafina Correa","2260050","Hospital Nossa Senhora Do Rosario","0","0","-","0","0"
"04/05/2020 08:59","Santa Maria - R01 R02","Santiago","2244357","Hospital De Caridade De Santiago","10","10","100%","1","0"
"04/05/2020 08:57","Porto Alegre - R09 R10","Viamao","5223962","Instituto De Cardiologia Hospital Viamao","15","15","100%","0","1"
"04/05/2020 08:54","Ijui - R13","Pejucara","2261138","Hospital Pejucara","0","0","-","0","0"
"04/05/2020 08:54","Santa Maria - R01 R02","Paraiso Do Sul","2234467","Unidade Mista Hospital Paraiso","0","0","-","0","0"
"04/05/2020 08:49","Capao Da Canoa - R04 R05","Santo Antonio Da Patrulha","6389104","Hospital De Santo Antonio Da Patrulha","0","0","-","0","0"
"04/05/2020 08:49","Lajeado - R29 R30","Roca Sales","2252147","Sociedade Beneficente Roque Gonzales","0","0","-","0","0"
"04/05/2020 08:49","Caxias Do Sul - R23 R24 R25 R26","Sao Marcos","3228630","Hospital Dr Stich","0","0","-","0","0"
"04/05/2020 08:45","Pelotas - R21","Arroio Grande","2233428","Santa Casa De Misericordia De Arroio Grande","0","0","-","0","0"
"04/05/2020 08:43","Erechim - R16","Nonoai","2228688","Hospital Comunitario Nonoai","0","0","-","0","0"
"04/05/2020 08:41","Ijui - R13","Ijui","2261057","Hospital De Caridade De Ijui","20","9","45%","0","0"
"04/05/2020 08:35","Lajeado - R29 R30","Encantado","2252228","Hospital Santa Teresinha Encantado","0","0","-","0","0"
"04/05/2020 08:31","Santa Rosa - R14","Horizontina","7607547","Associacao Beneficente Oswaldo Cruz De Horizontina","0","0","-","0","0"
"04/05/2020 08:27","Santa Maria - R01 R02","Sao Francisco De Assis","2244330","Hospital Santo Antonio","0","0","-","0","0"
"04/05/2020 08:25","Lajeado - R29 R30","Arroio Do Meio","2252198","Hospital Sao Jose Arroio Do Meio","0","0","-","0","0"
"04/05/2020 08:21","Uruguaiana - R03","Alegrete","2248328","Santa Casa De Alegrete","8","8","100%","0","0"
"04/05/2020 08:21","Santa Maria - R01 R02","Santa Maria","2244365","Hospital Da Base Aerea","0","0","-","0","0"
"04/05/2020 08:20","Palmeira Das Missoes - R15 R20","Ametista Do Sul","2228629","Hospital Sao Gabriel Ametista Do Sul","0","0","-","0","0"
"04/05/2020 08:19","Santa Maria - R01 R02","Formigueiro","2244217","Hospital Municipal Pedro Calil","0","0","-","0","0"
"04/05/2020 08:18","Santa Rosa - R14","Boa Vista Do Burica","2250705","Hospital De Caridade Boa Vista","0","0","-","0","0"
"04/05/2020 08:12","Santo Angelo - R11","Sao Borja","2248298","Hospital Infantil","9","7","77.8%","0","1"
"04/05/2020 08:02","Santa Maria - R01 R02","Sao Joao Do Polesine","6364810","Hospital Dr Roberto Binatto","0","0","-","0","0"
"04/05/2020 07:50","Passo Fundo - R17 R18 R19","Passo Fundo","2245663","Hospital Sao Vicente De Paulo","10","7","70%","0","0"
"04/05/2020 07:49","Taquara - R06","Tres Coroas","2257467","Hospital Dr Oswaldo Diesel","0","0","-","0","0"
"04/05/2020 07:49","Pelotas - R21","Pelotas","2253054","Santa Casa De Misericordia De Pelotas","17","17","100%","0","0"
"04/05/2020 07:48","Pelotas - R21","Sao Lourenco Do Sul","2233371","Centro De Saude Sao Joao Da Reserva","0","0","-","0","0"
"04/05/2020 07:46","Lajeado - R29 R30","Estrela","2252260","Hospital Estrela","10","5","50%","1","1"
"04/05/2020 07:36","Erechim - R16","Erechim","9142118","Santa Monica Hospital","0","0","-","0","0"
"04/05/2020 07:35","Erechim - R16","Campinas Do Sul","2249529","Hospital Municipal De Campinas Do Sul","0","0","-","0","0"
"04/05/2020 07:33","Taquara - R06","Igrejinha","2227665","Hospital Bom Pastor","0","0","-","0","0"
"04/05/2020 07:32","Caxias Do Sul - R23 R24 R25 R26","Feliz","6014194","Hospital Municipal Schlater","0","0","-","0","0"
"04/05/2020 07:16","Novo Hamburgo - R07","Dois Irmaos","6844138","Hospital Sao Jose De Dois Irmaos Ibsaude","0","0","-","0","0"
"04/05/2020 07:10","Lajeado - R29 R30","Serio","2252066","Hospital Sao Jose Serio","0","0","-","0","0"
"04/05/2020 07:07","Santa Maria - R01 R02","Agudo","2234386","Hospital Agudo","0","0","-","0","0"
"04/05/2020 07:01","Santa Cruz Do Sul - R28","Vera Cruz","2236354","Hospital Vera Cruz","0","0","-","0","0"
"04/05/2020 06:46","Santa Maria - R01 R02","Julio De Castilhos","2244098","Hospital Bernardina Salles De Barros","0","0","-","0","0"
"03/05/2020 23:13","Porto Alegre - R09 R10","Sao Jeronimo","6424236","Hcsj Hospital De Caridade Sao Jeronimo","0","0","-","0","0"
"03/05/2020 21:08","Ijui - R13","Humaita","2265893","Hospital Adesco","0","0","-","0","0"
"03/05/2020 20:56","Passo Fundo - R17 R18 R19","Nao-me-toque","2246902","Hospital Notre Dame Julia Billiart","0","0","-","0","0"
"03/05/2020 20:01","Lajeado - R29 R30","Progresso","2252082","Hospital Santa Isabel Progresso","0","0","-","0","0"
"03/05/2020 19:47","Palmeira Das Missoes - R15 R20","Palmitinho","2228580","Hospital Santa Terezinha Palmitinho","0","0","-","0","0"
"03/05/2020 19:08","Cachoeira Do Sul - R27","Sobradinho","9016554","Hospital Sao Joao Evangelista","0","0","-","0","0"
"03/05/2020 17:46","Porto Alegre - R09 R10","Alvorada","2232081","Hospital Alvorada","0","0","-","0","0"
"03/05/2020 16:33","Porto Alegre - R09 R10","Porto Alegre","2237261","Hospital Beneficencia Portuguesa","10","0","0%","0","0"
"03/05/2020 16:03","Canoas - R08","Montenegro","2257556","Hospital Montenegro","10","6","60%","0","1"
"03/05/2020 15:51","Lajeado - R29 R30","Ilopolis","2252139","Hospital Beneficente Leonilda Brunet","0","0","-","0","0"
"03/05/2020 15:25","Capao Da Canoa - R04 R05","Osorio","2257815","Hospital Sao Vicente De Paulo","10","4","40%","2","0"
"03/05/2020 15:08","Palmeira Das Missoes - R15 R20","Constantina","3378691","Hospital Da Comunidade Ahcros Constantina","0","0","-","0","0"
"03/05/2020 14:13","Caxias Do Sul - R23 R24 R25 R26","Nova Petropolis","2241102","Hospital Nova Petropolis","0","0","-","0","0"
"03/05/2020 13:23","Uruguaiana - R03","Itaqui","2248271","Hospital Sao Patricio De Itaqui","0","0","-","0","0"
"03/05/2020 13:13","Palmeira Das Missoes - R15 R20","Tres Passos","2228726","Hospital Caridade Tres Passos","10","6","60%","0","1"
"03/05/2020 12:54","Santa Rosa - R14","Tres De Maio","2250837","Hospital Sao Vicente De Paulo","6","6","100%","0","0"
"03/05/2020 08:33","Caxias Do Sul - R23 R24 R25 R26","Bom Jesus","6011926","Hospital De Bom Jesus","0","0","-","0","0"
"02/05/2020 14:47","Porto Alegre - R09 R10","Butia","2265958","Hospital De Butia","0","0","-","0","0"
"01/05/2020 22:59","Cruz Alta - R12","Santa Barbara Do Sul","2263890","Hospital Santa Barbara Beneficente","0","0","-","0","0"
"01/05/2020 17:59","Taquara - R06","Cambara Do Sul","5602742","Fundacao Hospitalar Sao Jose","0","0","-","0","0"
"01/05/2020 15:57","Pelotas - R21","Pinheiro Machado","2233320","Hospital Pinheiro Machado","0","0","-","0","0"
"01/05/2020 08:28","Lajeado - R29 R30","Marques De Souza","2252007","Hospital Marques De Souza","0","0","-","0","0"
